experiment_name,mode,branch,family,backbone,model_name,pretrained,loss,scheduler,label_smoothing,mixup_alpha,cutmix_alpha,feature_attention,class_weighting,expert_classes,epochs,batch_size,image_size,lr,weight_decay,min_lr,seed,train_size,valid_size,test_size,best_epoch_main,best_epoch_expert,valid_acc,valid_macro_f1,test_acc,test_macro_f1,test_weighted_f1,test_expert_invocations,test_expert_changed,test_expert_corrected,test_expert_hurt,elapsed_seconds
cascade_pair_ad_lc_v2.0_pretrained_ce_b3,cascade,cascade_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b3,efficientnet_b3,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma",,,288,,,,,613,72,315,4,14,93.06%,0.9334,91.43%,0.9237,0.9140,1,0,0,0,14.2154
cascade_pair_ad_lc_v2.0_pretrained_ce_b4,cascade,cascade_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b4,efficientnet_b4,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma",,,320,,,,,613,72,315,18,3,86.11%,0.8620,82.54%,0.8484,0.8253,1,0,0,0,19.5207
cascade_pair_ad_sq_v2.0_pretrained_ce,cascade,cascade_pair_ad_sq,v2.0_pretrained_ce,efficientnet_b0,efficientnet_b0,,,,,,,None,,"adenocarcinoma,squamous.cell.carcinoma",,,224,,,,,613,72,315,23,13,91.67%,0.9173,77.14%,0.7806,0.7765,5,3,3,0,8.2349
cascade_pair_ad_sq_v2.0_pretrained_ce_b1,cascade,cascade_pair_ad_sq,v2.0_pretrained_ce,efficientnet_b1,efficientnet_b1,,,,,,,none,,"adenocarcinoma,squamous.cell.carcinoma",,,240,,,,,613,72,315,18,19,86.11%,0.8694,87.30%,0.8824,0.8732,8,2,2,0,13.7022
cascade_pair_ad_sq_v2.0_pretrained_ce_b2,cascade,cascade_pair_ad_sq,v2.0_pretrained_ce,efficientnet_b2,efficientnet_b2,,,,,,,none,,"adenocarcinoma,squamous.cell.carcinoma",,,256,,,,,613,72,315,23,6,91.67%,0.9213,89.52%,0.9047,0.8953,4,2,2,0,12.7722
cascade_pair_ad_sq_v2.0_pretrained_ce_b3,cascade,cascade_pair_ad_sq,v2.0_pretrained_ce,efficientnet_b3,efficientnet_b3,,,,,,,none,,"adenocarcinoma,squamous.cell.carcinoma",,,288,,,,,613,72,315,4,10,94.44%,0.9458,91.43%,0.9238,0.9138,7,1,0,0,14.395
cascade_pair_ad_sq_v2.0_pretrained_ce_b4,cascade,cascade_pair_ad_sq,v2.0_pretrained_ce,efficientnet_b4,efficientnet_b4,,,,,,,none,,"adenocarcinoma,squamous.cell.carcinoma",,,320,,,,,613,72,315,18,9,86.11%,0.8620,83.49%,0.8555,0.8352,10,5,4,1,19.3715
cascade_pair_lc_sq_v2.0_pretrained_ce,cascade,cascade_pair_lc_sq,v2.0_pretrained_ce,efficientnet_b0,efficientnet_b0,,,,,,,None,,"large.cell.carcinoma,squamous.cell.carcinoma",,,224,,,,,613,72,315,23,8,91.67%,0.9173,76.51%,0.7753,0.7682,5,2,1,0,8.3028
cascade_pair_lc_sq_v2.0_pretrained_ce_b1,cascade,cascade_pair_lc_sq,v2.0_pretrained_ce,efficientnet_b1,efficientnet_b1,,,,,,,none,,"large.cell.carcinoma,squamous.cell.carcinoma",,,240,,,,,613,72,315,18,15,84.72%,0.8567,86.67%,0.8771,0.8666,0,0,0,0,13.5454
cascade_pair_lc_sq_v2.0_pretrained_ce_b2,cascade,cascade_pair_lc_sq,v2.0_pretrained_ce,efficientnet_b2,efficientnet_b2,,,,,,,none,,"large.cell.carcinoma,squamous.cell.carcinoma",,,256,,,,,613,72,315,23,12,91.67%,0.9213,88.89%,0.9000,0.8890,0,0,0,0,12.5612
